1  0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 29.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 146.00 2 : 9.00 3 : 0.00 4 : 0.00
1 : 195.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 175.00 2 : 39.00 3 : 0.00 4 : 0.00
1 : 68.00 2 : 126.00 3 : 0.00 4 : 0.00
1 : 48.00 2 : 195.00 3 : 19.00 4 : 9.00
1 : 19.00 2 : 234.00 3 : 9.00 4 : 29.00
1 : 0.00 2 : 263.00 3 : 9.00 4 : 29.00
1 : 0.00 2 : 273.00 3 : 9.00 4 : 29.00
1 : 0.00 2 : 224.00 3 : 9.00 4 : 39.00
1 : 0.00 2 : 126.00 3 : 9.00 4 : 19.00
1 : 0.00 2 : 58.00 3 : 9.00 4 : 19.00
